ID;FLG_DEF_6M;Macro Area;Settore
155;0;Nord;Artigianato e piccole imprese
156;0;Nord;Artigianato e piccole imprese
157;1;Centro ;Artigianato e piccole imprese
158;0;Nord;Artigianato e piccole imprese
159;0;Nord;Artigianato e piccole imprese
160;0;Nord;Artigianato e piccole imprese
161;0;Nord;Artigianato e piccole imprese
162;0;Nord;Artigianato e piccole imprese
163;0;Sud & Isole;Artigianato e piccole imprese
164;0;Nord;Artigianato e piccole imprese
165;0;Centro ;Artigianato e piccole imprese
166;0;Nord;Artigianato e piccole imprese
167;1;Nord;Artigianato e piccole imprese
168;0;Nord;Artigianato e piccole imprese
169;0;Nord;Artigianato e piccole imprese
170;1;Centro ;Artigianato e piccole imprese
171;0;Nord;NGO e altro
172;0;Nord;Imprese private
173;0;Nord;Artigianato e piccole imprese
174;0;Centro ;Artigianato e piccole imprese
175;0;Nord;Artigianato e piccole imprese
176;0;Nord;Artigianato e piccole imprese
177;0;Centro ;Artigianato e piccole imprese
178;0;Centro ;NGO e altro
179;1;Centro ;Artigianato e piccole imprese
180;0;Sud & Isole;Artigianato e piccole imprese
181;0;Nord;Imprese private
182;0;Centro ;Artigianato e piccole imprese
183;0;Nord;NGO e altro
184;0;Nord;Artigianato e piccole imprese
185;0;Nord;Artigianato e piccole imprese
186;0;Nord;Artigianato e piccole imprese
187;0;Centro ;Artigianato e piccole imprese
188;1;Centro ;Imprese private
189;1;Centro ;Artigianato e piccole imprese
190;0;Nord;Artigianato e piccole imprese
191;0;Nord;Artigianato e piccole imprese
192;0;Centro ;Imprese private
193;0;Nord;Artigianato e piccole imprese
194;0;Nord;Artigianato e piccole imprese
195;0;Nord;Imprese private
196;1;Centro ;Artigianato e piccole imprese
197;0;Nord;Artigianato e piccole imprese
198;0;Nord;Artigianato e piccole imprese
199;0;Nord;Imprese private
200;0;Sud & Isole;Imprese private
201;0;Centro ;Imprese private
202;0;Nord;Artigianato e piccole imprese
203;0;Centro ;Artigianato e piccole imprese
204;0;Centro ;Artigianato e piccole imprese
205;0;Nord;Artigianato e piccole imprese
206;0;Nord;Artigianato e piccole imprese
207;0;Nord;Artigianato e piccole imprese
208;0;Nord;Artigianato e piccole imprese
209;0;Centro ;Artigianato e piccole imprese
210;0;Centro ;Artigianato e piccole imprese
211;0;Nord;Artigianato e piccole imprese
212;0;Sud & Isole;Artigianato e piccole imprese
213;0;Sud & Isole;Imprese private
214;0;Centro ;Artigianato e piccole imprese
215;0;Nord;Artigianato e piccole imprese
216;0;Nord;Imprese private
217;0;Nord;Artigianato e piccole imprese
218;0;Centro ;Artigianato e piccole imprese
219;0;Nord;Artigianato e piccole imprese
220;0;Centro ;Artigianato e piccole imprese
221;1;Centro ;Artigianato e piccole imprese
222;0;Centro ;Artigianato e piccole imprese
223;1;Nord;Artigianato e piccole imprese
224;0;Nord;Artigianato e piccole imprese
225;0;Nord;Imprese private
227;0;Centro ;Artigianato e piccole imprese
228;0;Centro ;Artigianato e piccole imprese
229;0;Centro ;Artigianato e piccole imprese
230;0;Nord;Artigianato e piccole imprese
231;0;Nord;Artigianato e piccole imprese
232;0;Centro ;Artigianato e piccole imprese
233;0;Nord;Artigianato e piccole imprese
234;0;Centro ;Artigianato e piccole imprese
235;0;Nord;Artigianato e piccole imprese
236;0;Centro ;Artigianato e piccole imprese
237;0;Nord;NGO e altro
238;0;Nord;Artigianato e piccole imprese
239;0;Nord;Artigianato e piccole imprese
240;0;Nord;Artigianato e piccole imprese
241;0;Nord;Artigianato e piccole imprese
242;1;Centro ;Artigianato e piccole imprese
243;1;Centro ;Imprese private
244;0;Centro ;Imprese private
245;0;Nord;Imprese private
246;0;Centro ;Artigianato e piccole imprese
247;0;Centro ;Artigianato e piccole imprese
248;0;Nord;Artigianato e piccole imprese
249;0;Nord;Imprese private
250;0;Nord;Artigianato e piccole imprese
251;0;Nord;Imprese private
252;0;Centro ;Artigianato e piccole imprese
253;1;Nord;Artigianato e piccole imprese
254;0;Nord;Artigianato e piccole imprese
255;0;Centro ;Artigianato e piccole imprese
256;0;Centro ;Artigianato e piccole imprese
257;0;Centro ;Artigianato e piccole imprese
258;0;Nord;Artigianato e piccole imprese
259;0;Nord;Artigianato e piccole imprese
260;0;Nord;Artigianato e piccole imprese
261;0;Centro ;Artigianato e piccole imprese
262;0;Centro ;NGO e altro
263;0;Nord;Artigianato e piccole imprese
264;0;Centro ;Artigianato e piccole imprese
265;0;Nord;Artigianato e piccole imprese
266;0;Centro ;Artigianato e piccole imprese
267;0;Centro ;Artigianato e piccole imprese
268;0;Nord;Artigianato e piccole imprese
269;1;Centro ;Artigianato e piccole imprese
270;0;Centro ;Imprese private
271;1;Centro ;Artigianato e piccole imprese
272;0;Centro ;Artigianato e piccole imprese
